MJD,i:magpsf,i:sigmapsf,Filter,r,delta,alpha
58789.20668981131,18.739,0.098,ZTF-g,18.817,18.019,1.836
58789.229294010904,18.311,0.061,ZTF-r,18.817,18.019,1.837
58828.12792821089,18.363,0.089,ZTF-r,18.824,18.583,2.925
58831.0713773109,18.369,0.065,ZTF-r,18.824,18.634,2.954
58855.19142361125,18.568,0.106,ZTF-r,18.828,19.052,2.896
58863.09126161132,18.463,0.073,ZTF-r,18.829,19.183,2.767
58863.121481511276,18.953,0.118,ZTF-g,18.829,19.183,2.766
59034.38219911093,18.407,0.094,ZTF-r,18.852,18.764,3.087
59038.37800921127,18.424,0.105,ZTF-r,18.853,18.698,3.068
59044.3584606112,18.774,0.12,ZTF-g,18.853,18.6,3.013
59044.460914311,18.42,0.065,ZTF-r,18.853,18.598,3.012
59047.420127311256,18.458,0.05,ZTF-r,18.853,18.551,2.974
59047.45393521106,18.94,0.082,ZTF-g,18.853,18.55,2.973
59049.393599511124,18.456,0.065,ZTF-r,18.854,18.519,2.944
59053.46008101106,18.487,0.051,ZTF-r,18.854,18.456,2.872
59071.47864581132,18.751,0.084,ZTF-g,18.856,18.199,2.389
59072.37599541107,18.749,0.1,ZTF-g,18.856,18.188,2.359
59072.47825231124,18.367,0.059,ZTF-r,18.856,18.186,2.355
59073.41023151111,18.819,0.087,ZTF-g,18.856,18.175,2.323
59075.37607641099,18.827,0.083,ZTF-g,18.856,18.151,2.252
59075.40674771089,18.787,0.091,ZTF-g,18.856,18.15,2.251
59075.46105321124,18.393,0.064,ZTF-r,18.856,18.15,2.249
59076.41020831093,18.367,0.066,ZTF-r,18.856,18.138,2.214
59077.410625011194,18.823,0.092,ZTF-g,18.856,18.127,2.176
59078.40871531097,18.779,0.076,ZTF-g,18.856,18.115,2.138
59079.40228011133,18.362,0.051,ZTF-r,18.857,18.104,2.1
59081.402812511194,18.351,0.053,ZTF-r,18.857,18.082,2.02
59081.420104211196,18.315,0.054,ZTF-r,18.857,18.082,2.019
59081.4631597111,18.754,0.093,ZTF-g,18.857,18.081,2.017
59082.386134210974,18.712,0.101,ZTF-g,18.857,18.071,1.98
59085.39399301121,18.792,0.116,ZTF-g,18.857,18.041,1.853
59085.396817110945,18.788,0.074,ZTF-g,18.857,18.04,1.853
59085.46371531114,18.37,0.061,ZTF-r,18.857,18.04,1.85
59086.36850691121,18.3,0.059,ZTF-r,18.857,18.031,1.811
59087.381388911046,18.328,0.062,ZTF-r,18.857,18.021,1.766
59088.400254610926,18.292,0.054,ZTF-r,18.857,18.012,1.721
59088.4380555111,18.308,0.058,ZTF-r,18.857,18.012,1.719
59088.473449110985,18.704,0.098,ZTF-g,18.857,18.011,1.718
59089.346400510985,18.691,0.101,ZTF-g,18.857,18.003,1.678
59090.33217591094,18.741,0.121,ZTF-g,18.857,17.995,1.634
59091.32653931109,18.679,0.139,ZTF-g,18.858,17.986,1.588
59092.341805511154,18.806,0.111,ZTF-g,18.858,17.978,1.541
59104.39496531105,18.267,0.079,ZTF-r,18.859,17.899,0.949
59104.431469911244,18.181,0.076,ZTF-r,18.859,17.899,0.947
59112.40246531088,18.136,0.044,ZTF-r,18.859,17.87,0.535
59113.30401621107,18.066,0.047,ZTF-r,18.859,17.868,0.488
59113.31577551132,18.108,0.047,ZTF-r,18.859,17.868,0.488
59113.35930551123,18.519,0.073,ZTF-g,18.859,17.868,0.486
59115.329398110975,18.037,0.055,ZTF-r,18.86,17.864,0.386
59116.33670141129,18.049,0.054,ZTF-r,18.86,17.862,0.336
59116.36989581119,18.089,0.055,ZTF-r,18.86,17.862,0.334
59117.28403931111,18.437,0.084,ZTF-g,18.86,17.861,0.291
59118.264513911214,18.04,0.052,ZTF-r,18.86,17.86,0.246
59125.30372681096,18.084,0.067,ZTF-r,18.86,17.863,0.238
59129.233530111145,18.071,0.049,ZTF-r,18.861,17.871,0.426
59129.33027781127,18.511,0.089,ZTF-g,18.861,17.871,0.431
59131.23283561133,18.106,0.059,ZTF-r,18.861,17.876,0.528
59131.315949111246,18.525,0.082,ZTF-g,18.861,17.877,0.533
59134.26993051125,18.572,0.076,ZTF-g,18.861,17.888,0.686
59134.297511611134,18.09,0.049,ZTF-r,18.861,17.888,0.687
59136.23603011109,18.594,0.058,ZTF-g,18.861,17.896,0.787
59136.29885421088,18.173,0.053,ZTF-r,18.861,17.897,0.791
59138.259236111306,18.579,0.078,ZTF-g,18.861,17.906,0.892
59138.304756911006,18.175,0.047,ZTF-r,18.861,17.907,0.894
59140.275763911195,18.67,0.077,ZTF-g,18.861,17.918,0.994
59146.27511571115,18.21,0.114,ZTF-r,18.862,17.958,1.293
59153.21155091096,18.68,0.12,ZTF-g,18.862,18.018,1.62
59153.326655111276,18.307,0.115,ZTF-r,18.862,18.019,1.625
59155.16783561092,18.77,0.111,ZTF-g,18.862,18.037,1.708
59155.24896991113,18.309,0.066,ZTF-r,18.862,18.037,1.711
59157.29210651107,18.686,0.114,ZTF-g,18.863,18.058,1.8
59188.18535881117,18.833,0.102,ZTF-g,18.864,18.481,2.785
59188.24060181109,18.434,0.091,ZTF-r,18.864,18.482,2.786
59190.15468751127,18.409,0.055,ZTF-r,18.865,18.513,2.821
59193.16994211124,18.838,0.076,ZTF-g,18.865,18.563,2.87
59195.20215281099,18.416,0.064,ZTF-r,18.865,18.597,2.898
59199.170463011134,18.891,0.14,ZTF-g,18.865,18.665,2.941
59202.131423611194,18.396,0.076,ZTF-r,18.865,18.716,2.964
59202.17086801119,18.923,0.093,ZTF-g,18.865,18.716,2.965
59224.14358801115,18.537,0.071,ZTF-r,18.866,19.094,2.887
59224.150081011,18.975,0.136,ZTF-g,18.866,19.095,2.887
59227.11061341129,18.842,0.085,ZTF-g,18.866,19.144,2.844
59227.14549771091,18.507,0.089,ZTF-r,18.866,19.145,2.843
59229.12545141112,18.519,0.092,ZTF-r,18.866,19.177,2.811
59392.43134261109,18.205,0.098,ZTF-r,18.869,18.962,3.068
59399.421307911165,18.442,0.076,ZTF-g,18.869,18.845,3.09
59401.41715281131,18.512,0.09,ZTF-g,18.869,18.812,3.088
59403.403090311214,18.461,0.084,ZTF-g,18.869,18.779,3.084
59403.42415511096,18.049,0.045,ZTF-r,18.869,18.778,3.084
59405.434953710996,18.038,0.052,ZTF-r,18.869,18.745,3.076
59410.435196711216,18.105,0.067,ZTF-r,18.869,18.662,3.04
59410.45827551093,18.472,0.066,ZTF-g,18.869,18.661,3.04
59414.43699071091,18.423,0.075,ZTF-g,18.869,18.596,2.996
59414.462210610975,17.978,0.06,ZTF-r,18.869,18.596,2.996
59418.40322921099,17.938,0.088,ZTF-r,18.869,18.533,2.938
59418.46159721119,18.396,0.117,ZTF-g,18.869,18.532,2.938
59422.43601851119,17.973,0.065,ZTF-r,18.869,18.469,2.867
59426.47471061116,18.317,0.068,ZTF-g,18.869,18.407,2.781
59429.39905091096,17.978,0.044,ZTF-r,18.869,18.364,2.71
59429.4211574113,18.344,0.066,ZTF-g,18.869,18.363,2.71
59442.42384261126,17.88,0.047,ZTF-r,18.868,18.185,2.314
59442.46386571089,18.286,0.065,ZTF-g,18.868,18.185,2.313
59446.3776389109,17.844,0.053,ZTF-r,18.868,18.138,2.169
59446.45570601104,18.247,0.056,ZTF-g,18.868,18.137,2.166
59449.26077551115,18.183,0.11,ZTF-g,18.868,18.105,2.057
59453.4585880111,18.127,0.064,ZTF-g,18.868,18.06,1.883
59458.35987271089,17.783,0.045,ZTF-r,18.868,18.013,1.668
59460.337338011246,17.764,0.05,ZTF-r,18.868,17.996,1.577
59460.41317131091,18.121,0.057,ZTF-g,18.868,17.995,1.574
59462.351215311326,18.095,0.045,ZTF-g,18.868,17.979,1.483
59462.379120410886,17.75,0.058,ZTF-r,18.868,17.979,1.482
59464.37997681089,17.722,0.037,ZTF-r,18.868,17.963,1.386
59464.42768521095,18.087,0.043,ZTF-g,18.868,17.963,1.384
59466.39104171097,17.718,0.045,ZTF-r,18.867,17.949,1.288
59466.414490710944,18.11,0.05,ZTF-g,18.867,17.949,1.287
59470.39503471088,18.065,0.047,ZTF-g,18.867,17.924,1.088
59472.39429401094,17.631,0.052,ZTF-r,18.867,17.913,0.987
59472.41547451122,17.991,0.066,ZTF-g,18.867,17.913,0.986
59474.30921301106,17.634,0.045,ZTF-r,18.867,17.903,0.888
59474.38262731116,18.006,0.057,ZTF-g,18.867,17.903,0.885
59488.26694441121,17.778,0.056,ZTF-g,18.867,17.867,0.182
59488.31887731096,17.358,0.045,ZTF-r,18.867,17.867,0.18
59488.33236111095,17.344,0.057,ZTF-r,18.867,17.867,0.18
59490.34313661093,17.736,0.062,ZTF-g,18.867,17.867,0.128
59497.301574110985,17.405,0.041,ZTF-r,18.866,17.875,0.382
59497.33675921103,17.84,0.067,ZTF-g,18.866,17.875,0.384
59502.35321761109,17.463,0.04,ZTF-r,18.866,17.891,0.645
59502.379074111115,17.891,0.073,ZTF-g,18.866,17.891,0.646
59504.254988410976,17.884,0.066,ZTF-g,18.866,17.898,0.744
59520.233576410916,17.569,0.043,ZTF-r,18.865,18.005,1.538
59522.19201391097,17.594,0.049,ZTF-r,18.865,18.023,1.628
59522.261030110996,18.058,0.059,ZTF-g,18.865,18.024,1.631
59524.23209491093,17.657,0.058,ZTF-r,18.865,18.043,1.72
59524.29937501112,18.019,0.065,ZTF-g,18.865,18.044,1.723
59526.229733811226,18.027,0.051,ZTF-g,18.865,18.063,1.807
59526.23738421127,17.679,0.037,ZTF-r,18.865,18.063,1.807
59540.198483811226,17.692,0.052,ZTF-r,18.864,18.232,2.343
59550.13420141116,17.781,0.046,ZTF-r,18.864,18.375,2.634
59765.453136611264,18.063,0.043,ZTF-r,18.843,18.867,3.09
59770.39236111101,18.353,0.079,ZTF-g,18.842,18.784,3.092
59770.46030091122,18.481,0.065,ZTF-g,18.842,18.783,3.092
59773.431111111306,18.077,0.069,ZTF-r,18.842,18.733,3.084
59773.46047451114,18.054,0.066,ZTF-r,18.842,18.732,3.084
59776.41275461111,18.027,0.069,ZTF-r,18.841,18.683,3.067
59783.4330671113,18.463,0.078,ZTF-g,18.84,18.566,2.998
59788.42608801089,18.008,0.053,ZTF-r,18.84,18.486,2.924
59798.42182871094,18.414,0.067,ZTF-g,18.838,18.332,2.71
59801.419629611075,18.341,0.083,ZTF-g,18.838,18.288,2.63
59801.458044011146,17.994,0.054,ZTF-r,18.838,18.287,2.629
59808.43476851098,17.981,0.056,ZTF-r,18.837,18.191,2.415
59813.33769671107,18.377,0.077,ZTF-g,18.836,18.129,2.243
59813.378495411016,17.945,0.055,ZTF-r,18.836,18.128,2.241
59815.395347211044,18.003,0.055,ZTF-r,18.836,18.104,2.165
59815.42144671129,18.314,0.098,ZTF-g,18.836,18.104,2.164
59817.42070601089,18.356,0.079,ZTF-g,18.836,18.08,2.086
59819.400266211014,18.343,0.061,ZTF-g,18.835,18.058,2.006
59819.46517361095,17.968,0.052,ZTF-r,18.835,18.057,2.004
59822.40072921105,18.287,0.082,ZTF-g,18.835,18.026,1.881
59822.47195601091,17.929,0.039,ZTF-r,18.835,18.026,1.878
59824.395335610956,17.93,0.046,ZTF-r,18.835,18.006,1.794
59839.309756910894,18.242,0.066,ZTF-g,18.832,17.889,1.083
59839.40187501116,18.275,0.062,ZTF-g,18.832,17.888,1.079
59843.30217591114,17.843,0.049,ZTF-r,18.832,17.868,0.878
59843.35905091092,18.227,0.075,ZTF-g,18.832,17.867,0.875
59846.37047451129,18.212,0.065,ZTF-g,18.831,17.854,0.717
59846.40115741128,17.836,0.054,ZTF-r,18.831,17.854,0.716
59848.33809031127,17.771,0.063,ZTF-r,18.831,17.847,0.614
59848.35890051117,18.171,0.07,ZTF-g,18.831,17.847,0.612
59860.1847338113,17.648,0.06,ZTF-r,18.829,17.83,0.111
59863.337106511,18.136,0.082,ZTF-g,18.828,17.833,0.236
59865.26244211104,18.153,0.076,ZTF-g,18.828,17.836,0.333
59865.32754631108,17.695,0.041,ZTF-r,18.828,17.836,0.337
59867.32078701118,17.745,0.054,ZTF-r,18.828,17.841,0.441
59872.2887268113,18.258,0.061,ZTF-g,18.827,17.857,0.703
59872.366689810995,17.872,0.039,ZTF-r,18.827,17.857,0.707
59877.29416671116,17.862,0.051,ZTF-r,18.826,17.881,0.964
59879.33011571132,18.261,0.07,ZTF-g,18.826,17.893,1.068
59881.286169011146,17.916,0.048,ZTF-r,18.825,17.905,1.167
59894.28170141112,17.976,0.059,ZTF-r,18.823,18.015,1.779
59896.28498841124,17.986,0.046,ZTF-r,18.823,18.036,1.865
59898.22908561118,18.282,0.058,ZTF-g,18.823,18.057,1.947
59898.25399301108,17.976,0.051,ZTF-r,18.823,18.057,1.948
59922.15152781131,18.479,0.095,ZTF-g,18.818,18.381,2.718
59922.201446711086,18.058,0.055,ZTF-r,18.818,18.382,2.72
59928.15032411087,18.071,0.055,ZTF-r,18.817,18.476,2.837
59928.196794011164,18.428,0.071,ZTF-g,18.817,18.477,2.838
59934.181458311155,18.478,0.082,ZTF-g,18.816,18.576,2.923
59934.237280111294,18.122,0.064,ZTF-r,18.816,18.577,2.924
59936.12561341096,18.458,0.066,ZTF-g,18.816,18.608,2.944
59936.16458331095,18.115,0.073,ZTF-r,18.816,18.609,2.944
59951.13212961098,18.436,0.08,ZTF-g,18.813,18.864,2.986
59956.131493011024,18.092,0.065,ZTF-r,18.812,18.949,2.954
